,Protein_Names,Protein_Group,Protein_Ids,Genes,First_Protein_Description,Peptides,1135-MRL_12,3057-MLL-LP1_2,3057-MLL-LS1_1,3057-MLL-NUC_3,3057-MRL-LP1_10,3057-MRL-LS1_7,3058-FRL_5,3058-FRU_13,3058-FRU-LP1_9,3058-FRU-LS1_6,3058-MRU_15,3062-MRL_4,3062-MRU_14,3062-MRU-LP1_11,3062-MRU-LS1_8
990,LRC59_MOUSE,Q922Q8,Q922Q8,Lrrc59,Leucine-rich repeat-containing protein 59,7,0.0,1075420.0,459189.0,0.0,1334050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3124620.0,0.0
991,RFOX1-2_MOUSE;RFOX1-3_MOUSE;RFOX1_MOUSE,Q9JJ43;Q9JJ43-2;Q9JJ43-3,Q9JJ43;A0A2R8VHB5;A0A2R8VI79;A0A2R8VK79;Q9JJ43-2;Q9JJ43-3;Q9JJ43-4,Rbfox1,RNA binding protein fox-1 homolog 1,13,0.0,1075270.0,4129760.0,650468.0,1274630.0,0.0,317855.0,137631.0,180194.0,0.0,1135490.0,158014.0,2689050.0,8669260.0,904114.0
992,ARP5L_MOUSE,Q9D898,Q9D898,Arpc5l,Actin-related protein 2/3 complex subunit 5-like protein,5,0.0,1074860.0,3101970.0,0.0,920533.0,0.0,63661.7,111094.0,576928.0,0.0,182139.0,80285.3,543686.0,11945500.0,420076.0
993,HPLN1_MOUSE,Q9QUP5,Q9QUP5,Hapln1,Hyaluronan and proteoglycan link protein 1,13,0.0,1074670.0,0.0,0.0,1416330.0,0.0,0.0,0.0,2410930.0,0.0,197619.0,0.0,239772.0,23693700.0,0.0
994,NUMB-2_MOUSE;NUMB-3_MOUSE;NUMB-4_MOUSE;NUMB_MOUSE,Q9QZS3;Q9QZS3-2;Q9QZS3-3;Q9QZS3-4,Q9QZS3;D3Z1E8;D3Z549;D3Z7I6;F8WJ71;Q05BE7;Q9QZS3-2;Q9QZS3-3;Q9QZS3-4,Numb,Protein numb homolog,12,0.0,1074480.0,2573140.0,0.0,1045530.0,0.0,0.0,62670.7,260156.0,0.0,218926.0,0.0,308580.0,4772440.0,194933.0
995,SIK3_MOUSE,Q6P4S6,Q6P4S6;E9PU87;F6S7W6;F6U6U5;F6U8X4;Q6P4S6-2,Sik3,Serine/threonine-protein kinase SIK3,29,0.0,1074460.0,3743930.0,0.0,1909850.0,0.0,0.0,251048.0,329073.0,0.0,333631.0,0.0,660279.0,14333000.0,594091.0
996,HNRLL_MOUSE,Q921F4,Q921F4;Q921F4-4;V9GXB6,Hnrnpll,Heterogeneous nuclear ribonucleoprotein L-like,24,0.0,1074380.0,7188450.0,0.0,1777030.0,0.0,0.0,0.0,165817.0,0.0,87839.3,0.0,491228.0,5478600.0,447716.0
997,XPO1_MOUSE,Q6P5F9,Q6P5F9,Xpo1,Exportin-1,31,0.0,1072150.0,3303020.0,0.0,2650470.0,0.0,0.0,0.0,221921.0,0.0,0.0,0.0,409315.0,10674200.0,456761.0
998,ADA22-11_MOUSE;ADA22-12_MOUSE;ADA22-13_MOUSE;ADA22-14_MOUSE;ADA22-15_MOUSE;ADA22-8_MOUSE;ADA22_MOUSE,Q9R1V6;Q9R1V6-11;Q9R1V6-12;Q9R1V6-13;Q9R1V6-14;Q9R1V6-15;Q9R1V6-8,Q9R1V6;D3YUP9;Q9R1V6-1;Q9R1V6-10;Q9R1V6-11;Q9R1V6-12;Q9R1V6-13;Q9R1V6-14;Q9R1V6-15;Q9R1V6-16;Q9R1V6-17;Q9R1V6-18;Q9R1V6-19;Q9R1V6-2;Q9R1V6-20;Q9R1V6-21;Q9R1V6-4;Q9R1V6-5;Q9R1V6-6;Q9R1V6-7;Q9R1V6-8;Q9R1V6-9,Adam22,Disintegrin and metalloproteinase domain-containing protein 22,24,0.0,1070840.0,214323.0,0.0,1477530.0,0.0,242758.0,141500.0,1219530.0,0.0,316792.0,0.0,676606.0,21539800.0,0.0
999,TAPT1_MOUSE,Q4VBD2,Q4VBD2,Tapt1,Transmembrane anterior posterior transformation protein 1,7,0.0,1070750.0,783425.0,0.0,1379970.0,0.0,0.0,0.0,309135.0,0.0,0.0,0.0,187842.0,5731140.0,0.0
1000,ABI2_MOUSE,P62484,P62484;A0A087WPP8;A0A087WRS3;Q6AXD2;Q6AXH6,Abi2,Abl interactor 2,10,0.0,1070030.0,4119070.0,0.0,1915290.0,0.0,0.0,0.0,717111.0,0.0,112074.0,0.0,269681.0,11328300.0,246118.0
1001,VINC_MOUSE,Q64727,Q64727,Vcl,Vinculin,47,2277790.0,1069040.0,2741020.0,1045380.0,1850270.0,1226010.0,3103720.0,6457470.0,605013.0,7862720.0,1873160.0,3124380.0,2193590.0,16156000.0,1589230.0
1002,CLD11_MOUSE,Q60771,Q60771,Cldn11,Claudin-11,6,149040.0,1066560.0,0.0,0.0,965904.0,0.0,0.0,630246.0,9123620.0,0.0,1446700.0,67251.7,2437600.0,159366000.0,0.0
1003,TMCC1-3_MOUSE,Q69ZZ6-3,Q69ZZ6;A0A0N4SWB9;F8WJ98;Q69ZZ6-2;Q69ZZ6-3,Tmcc1,"Isoform of Q69ZZ6, Isoform 3 of Transmembrane and coiled-coil domains protein 1",7,0.0,1065010.0,1380840.0,0.0,1274260.0,0.0,0.0,0.0,765192.0,0.0,0.0,0.0,147102.0,7822980.0,0.0
1004,AP3D1_MOUSE,O54774,O54774,Ap3d1,AP-3 complex subunit delta-1,43,529494.0,1064190.0,5702680.0,97957.2,2200370.0,66548.7,117571.0,428468.0,273757.0,75846.4,889139.0,170934.0,1156140.0,9078340.0,599649.0
1005,UB2E2_MOUSE,Q91W82,Q91W82;D3YW10;D3YXD1;H3BJB5,Ube2e2,Ubiquitin-conjugating enzyme E2 E2,4,0.0,1062050.0,3849050.0,0.0,1703790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112758.0,2012060.0,478855.0
1006,CAN2_MOUSE,O08529,O08529,Capn2,Calpain-2 catalytic subunit,24,0.0,1061180.0,5361540.0,0.0,1423560.0,0.0,0.0,92052.8,0.0,0.0,0.0,0.0,491083.0,3632230.0,449691.0
1007,F7DBB3_MOUSE,F7DBB3,Q3URZ6;F7DBB3,Ahnak2,"Isoform of Q3URZ6, AHNAK nucleoprotein 2 (Fragment)",31,534757.0,1060520.0,1739940.0,0.0,1831410.0,0.0,0.0,244949.0,2291360.0,0.0,1873300.0,0.0,4589810.0,97882500.0,461530.0
1008,LSAMP_MOUSE,Q8BLK3,Q8BLK3;A0A087WP80;Q3TYE5,Lsamp,Limbic system-associated membrane protein,16,68690.2,1060030.0,0.0,0.0,1046650.0,0.0,0.0,0.0,7439360.0,0.0,248400.0,0.0,0.0,70895000.0,0.0
1009,F8VQ05_MOUSE,F8VQ05,F8VQ05;A0A0J9YTS1;A0A0J9YUH4,Fryl,FRY-like transcription coactivator,42,0.0,1058440.0,903437.0,0.0,1555990.0,0.0,0.0,0.0,383296.0,0.0,0.0,0.0,375331.0,9264150.0,0.0
1010,ROGDI_MOUSE,Q3TDK6,Q3TDK6;Q3TDK6-2;Q3TDK6-3,Rogdi,Protein rogdi homolog,14,0.0,1057130.0,6953270.0,0.0,1688090.0,0.0,0.0,62756.5,168239.0,0.0,41600.2,0.0,483873.0,6646440.0,148890.0
1011,PLCL2_MOUSE,Q8K394,Q8K394,Plcl2,Inactive phospholipase C-like protein 2,26,0.0,1055030.0,3466140.0,0.0,1974050.0,0.0,0.0,0.0,233179.0,0.0,418527.0,0.0,292366.0,5009560.0,819319.0
1012,RASL1_MOUSE,Q9Z268,Q9Z268,Rasal1,RasGAP-activating-like protein 1,30,50815.1,1052300.0,3584140.0,0.0,2380870.0,41078.2,0.0,0.0,159734.0,0.0,169647.0,0.0,455334.0,5155390.0,362291.0
1013,SCN2A_MOUSE,B1AWN6,A2ASI5;B1AWN6;Q62205;Q9ER60;A0A5H1ZRM8;A2ASI5-2;A2ASI5-3;B1AYL0;E9PW82;F8VPQ7;G3X8T7,Scn2a,Sodium channel protein type 2 subunit alpha,35,0.0,1050270.0,0.0,0.0,1491310.0,0.0,0.0,143312.0,1106430.0,0.0,281228.0,0.0,717724.0,17983100.0,0.0
1014,F168A-2_MOUSE;F168A_MOUSE,Q8BGZ2;Q8BGZ2-2,Q8BGZ2;A0A140LIJ1;Q8BGZ2-2,Fam168a,Protein FAM168A,2,0.0,1045160.0,2235180.0,0.0,972289.0,0.0,0.0,0.0,253500.0,0.0,618834.0,0.0,1481720.0,6833450.0,1004690.0
1015,CLIP2_MOUSE,Q9Z0H8,Q9Z0H8;Q9Z0H8-2,Clip2,CAP-Gly domain-containing linker protein 2,48,0.0,1044520.0,9415760.0,0.0,1647670.0,0.0,0.0,88826.9,1219760.0,0.0,422075.0,0.0,945468.0,20018400.0,669322.0
1016,H2B3A_MOUSE;H2B3B_MOUSE,Q8CGP0;Q9D2U9,Q64524;Q8CGP0;Q9D2U9,H2bu1;Hist3h2ba,Histone H2B type 3-B,4,144433.0,1043030.0,0.0,384707.0,854789.0,0.0,0.0,0.0,1350450.0,0.0,80154.9,0.0,0.0,49470500.0,425002.0
1017,NDUA2_MOUSE,Q9CQ75,Q9CQ75,Ndufa2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,2,0.0,1042500.0,315920.0,0.0,1459650.0,0.0,0.0,0.0,59106.9,0.0,0.0,0.0,100208.0,2382970.0,0.0
1018,DHX9-2_MOUSE,O70133-2,O70133;A0A087WPL5;A0A087WRT3;A0A0R4J2C3;E9QNN1;O70133-2;Q3UR42,Dhx9,"Isoform of O70133, Isoform 2 of ATP-dependent RNA helicase A",42,0.0,1042040.0,1992450.0,0.0,1037270.0,0.0,0.0,0.0,385418.0,0.0,1958030.0,0.0,2175700.0,19181800.0,627976.0
1019,TBG1_MOUSE,P83887,P83887;Q8VCK3,Tubg1,Tubulin gamma-1 chain,6,0.0,1041910.0,3119260.0,0.0,2262740.0,0.0,650983.0,1824870.0,345503.0,0.0,1377440.0,692822.0,2053700.0,5583220.0,1085630.0
1020,GRM1_MOUSE,P97772,P97772;P97772-2,Grm1,Metabotropic glutamate receptor 1,27,0.0,1041330.0,90881.8,0.0,1428560.0,0.0,0.0,229485.0,802023.0,0.0,346147.0,0.0,918628.0,12594300.0,0.0
1021,THEM4_MOUSE,Q3UUI3,Q3UUI3,Them4,Acyl-coenzyme A thioesterase THEM4,9,0.0,1041040.0,6603330.0,0.0,2551760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129815.0,1316360.0,188212.0
1022,K1C27_MOUSE,Q9Z320,Q9Z320,Krt27,"Keratin, type I cytoskeletal 27",13,1565400.0,1040560.0,3823380.0,347098.0,2793220.0,417915.0,1498400.0,390736.0,300947.0,2860750.0,733098.0,1232510.0,917546.0,0.0,1191310.0
1023,MPC1_MOUSE,P63030,P63030;D3YWY6;D3Z5S0;D3Z786;E9Q0V4,Mpc1,Mitochondrial pyruvate carrier 1,4,0.0,1039910.0,0.0,0.0,1755100.0,0.0,0.0,264299.0,0.0,0.0,87273.9,0.0,666063.0,967555.0,0.0
1024,ELMO2-2_MOUSE,Q8BHL5-2,Q8BHL5;Q5GMG0;Q8BHL5-2;Q8BHL5-3,Elmo2,"Isoform of Q8BHL5, Isoform 2 of Engulfment and cell motility protein 2",20,0.0,1039690.0,2567160.0,0.0,1446850.0,0.0,65855.2,276064.0,486077.0,0.0,301676.0,71809.5,637055.0,12283800.0,260779.0
1025,VPS41_MOUSE,Q5KU39,Q5KU39,Vps41,Vacuolar protein sorting-associated protein 41 homolog,26,0.0,1037400.0,2273100.0,330266.0,1175990.0,0.0,0.0,0.0,216103.0,0.0,0.0,0.0,151655.0,6456200.0,0.0
1026,TS101_MOUSE,Q61187,Q61187;A0A1B0GRX2;A0A1B0GS10;D3Z2V5,Tsg101,Tumor susceptibility gene 101 protein,10,0.0,1036510.0,4194190.0,0.0,1517670.0,0.0,0.0,0.0,220753.0,0.0,0.0,0.0,231848.0,5871900.0,416514.0
1027,AIMP1_MOUSE,P31230,P31230;Q3UZG4,Aimp1,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,11,0.0,1034970.0,1934960.0,0.0,1129680.0,0.0,0.0,77363.8,0.0,0.0,48075.8,0.0,368595.0,2347970.0,107756.0
1028,DPYL3_MOUSE,Q62188,Q62188;E9PWE8;Q3TT92,Dpysl3,Dihydropyrimidinase-related protein 3,13,0.0,1034350.0,8479300.0,0.0,1863550.0,0.0,0.0,281007.0,536748.0,0.0,582670.0,0.0,1165000.0,9874230.0,1010980.0
1029,ARMC1_MOUSE,Q9D7A8,Q9D7A8,Armc1,Armadillo repeat-containing protein 1,9,0.0,1034130.0,2889470.0,0.0,1485090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125148.0,2416750.0,183381.0
1030,FLOT1_MOUSE,O08917,O08917;G3UYU4,Flot1,Flotillin-1,25,0.0,1033810.0,297889.0,0.0,1748640.0,0.0,0.0,79674.9,667458.0,0.0,247998.0,0.0,414132.0,13910400.0,0.0
1031,MLP3A_MOUSE,Q91VR7,Q91VR7;Q9CQV6;M0QWC2,Map1lc3a,Microtubule-associated proteins 1A/1B light chain 3A,4,0.0,1033600.0,7325380.0,0.0,2157560.0,0.0,0.0,0.0,790769.0,0.0,270870.0,0.0,495850.0,17572100.0,0.0
1032,VP26C_MOUSE,O35075,O35075,Vps26c,Vacuolar protein sorting-associated protein 26C,8,0.0,1031070.0,5723340.0,0.0,862257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105036.0,1621750.0,218655.0
1033,IF4E_MOUSE,P63073,P63073;A0A0G2JFB4;A0A0G2JGT5;A0A0G2JH04,Eif4e,Eukaryotic translation initiation factor 4E,6,0.0,1030640.0,3678210.0,0.0,1197840.0,0.0,0.0,0.0,142702.0,0.0,90683.8,0.0,261123.0,2934010.0,227038.0
1034,HABP4_MOUSE,Q9JKS5,Q9JKS5;E9QKB2,Habp4,Intracellular hyaluronan-binding protein 4,17,0.0,1029120.0,8094370.0,0.0,936928.0,72122.9,0.0,0.0,228192.0,0.0,190386.0,0.0,699918.0,3875620.0,595581.0
1035,PUM1-2_MOUSE,Q80U78-2,Q80U78;E9Q6M7;Q3TTW5;Q80U78-2;Q80U78-3,Pum1,"Isoform of Q80U78, Isoform 2 of Pumilio homolog 1",23,0.0,1027940.0,3989530.0,0.0,1407140.0,72839.9,0.0,0.0,131088.0,0.0,290198.0,0.0,694641.0,3156880.0,599173.0
1036,A0A0R4J1Q0_MOUSE;D6RE33_MOUSE;F6V5I7_MOUSE;F6ZJ27_MOUSE;G5E896_MOUSE,A0A0R4J1Q0;D6RE33;F6V5I7;F6ZJ27;G5E896,A0A0R4J1Q0;D6RE33;F6V5I7;F6ZJ27;G5E896,Edc4,"Isoform of Q3UJB9, Enhancer of mRNA-decapping protein 4",1,0.0,1027330.0,1011600.0,0.0,884796.0,0.0,0.0,0.0,155278.0,0.0,0.0,0.0,703681.0,3611720.0,166637.0
1037,ODB2_MOUSE,P53395,P53395,Dbt,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",17,0.0,1025370.0,983078.0,0.0,1804550.0,0.0,0.0,218831.0,286100.0,48177.8,359831.0,0.0,1164240.0,3902220.0,166406.0
1038,SRP54_MOUSE,P14576,E9PXC0;P14576;A0A1Y7VJJ0;P14576-2,Srp54,Signal recognition particle 54 kDa protein,22,0.0,1023640.0,2795760.0,0.0,1282300.0,0.0,0.0,0.0,0.0,0.0,231448.0,0.0,123679.0,1214970.0,94086.3
1039,RGRF1_MOUSE,P27671,P27671,Rasgrf1,Ras-specific guanine nucleotide-releasing factor 1,35,0.0,1020780.0,1505550.0,0.0,1543820.0,0.0,0.0,132371.0,360547.0,0.0,340545.0,101219.0,1199740.0,7512590.0,281597.0
1040,CACO1_MOUSE,Q8CGU1,Q8CGU1;A0A2R8VHU8;A0A2R8VKP5;E9Q7U2,Calcoco1,Calcium-binding and coiled-coil domain-containing protein 1,22,0.0,1020710.0,4171400.0,0.0,1042140.0,0.0,0.0,0.0,707912.0,0.0,220765.0,0.0,421858.0,9851110.0,265383.0
1041,SCYL2_MOUSE,Q8CFE4,Q8CFE4;G5E8J9,Scyl2,SCY1-like protein 2,13,0.0,1020310.0,2340860.0,0.0,1406580.0,0.0,0.0,115242.0,128363.0,0.0,212300.0,0.0,381320.0,5414530.0,260350.0
1042,ARHGC_MOUSE,Q8R4H2,Q8R4H2;F8VQN6,Arhgef12,Rho guanine nucleotide exchange factor 12,30,0.0,1020270.0,1105200.0,0.0,1709920.0,0.0,0.0,0.0,482544.0,0.0,140047.0,0.0,472794.0,10048300.0,254016.0
1043,LDHB_MOUSE,P16125,P16125;A0A0N4SVV8;A0A6I8MX27;D3Z7F0,Ldhb,L-lactate dehydrogenase B chain,15,78771.8,1018860.0,14984400.0,144601.0,1249280.0,80121.2,85911.4,189229.0,152855.0,0.0,1101800.0,94638.3,1895570.0,12532300.0,757000.0
1044,RMD3_MOUSE,Q3UJU9,Q3UJU9,Rmdn3,Regulator of microtubule dynamics protein 3,10,0.0,1018390.0,156810.0,0.0,1407220.0,0.0,0.0,0.0,156057.0,0.0,0.0,0.0,0.0,3158800.0,0.0
1045,RL37A_MOUSE,P61514,P61514;A0A1D5RL86,Rpl37a,60S ribosomal protein L37a,5,0.0,1018270.0,6449400.0,291549.0,763989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135092.0,0.0,358120.0
1046,PHYIP_MOUSE,Q8K0S0,Q8K0S0;E0CXJ1,Phyhip,Phytanoyl-CoA hydroxylase-interacting protein,10,0.0,1018000.0,12708500.0,0.0,1592100.0,0.0,57411.1,241787.0,256937.0,43243.8,277542.0,0.0,1250740.0,6667500.0,350437.0
1047,SRSF3-2_MOUSE;SRSF3_MOUSE,P84104;P84104-2,P84104;P84104-2,Srsf3,Serine/arginine-rich splicing factor 3,9,2093280.0,1017740.0,5942210.0,683253.0,1263910.0,503366.0,618803.0,2598920.0,363462.0,518027.0,3046370.0,717304.0,3883910.0,6084860.0,963678.0
1048,HS105-2_MOUSE;HS105_MOUSE,Q61699;Q61699-2,Q61699;E9Q0U7;Q61699-2,Hsph1,Heat shock protein 105 kDa,29,0.0,1016530.0,4018350.0,0.0,1512570.0,0.0,0.0,257866.0,637131.0,0.0,423187.0,0.0,1811120.0,12426700.0,624531.0
1049,PDK3_MOUSE,Q922H2,Q922H2,Pdk3,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",17,0.0,1016530.0,3804370.0,0.0,1975260.0,0.0,0.0,239499.0,208324.0,453543.0,0.0,0.0,249361.0,6065960.0,163401.0
1050,GRM5_MOUSE,Q3UVX5,Q3UVX5;E9QMC2,Grm5,Metabotropic glutamate receptor 5,24,0.0,1014360.0,0.0,0.0,1433580.0,0.0,0.0,191689.0,586136.0,0.0,306969.0,0.0,670876.0,9985760.0,0.0
1051,RELCH-2_MOUSE,Q148V7-2,Q148V7;A0A087WRM8;A0A087WSS1;E9QM90;G3X9J4;Q148V7-2;Q148V7-3,Relch,"Isoform of Q148V7, Isoform 2 of RAB11-binding protein RELCH",39,0.0,1014050.0,4457580.0,0.0,2199280.0,0.0,0.0,144274.0,128075.0,0.0,230871.0,0.0,500078.0,5010220.0,852934.0
1052,AHI1_MOUSE,Q8K3E5,Q8K3E5;A0A1L1SQE2;E9QP54;Q8K3E5-2,Ahi1,Jouberin,30,0.0,1014010.0,1564500.0,0.0,1324440.0,0.0,0.0,0.0,319847.0,0.0,107073.0,0.0,333600.0,9212220.0,115883.0
1053,FERM2_MOUSE,Q8CIB5,Q8CIB5;A6X941,Fermt2,Fermitin family homolog 2,23,0.0,1012660.0,5856540.0,0.0,2343280.0,0.0,0.0,384738.0,0.0,0.0,0.0,0.0,930655.0,6056640.0,378748.0
1054,SPTC2_MOUSE,P97363,P97363,Sptlc2,Serine palmitoyltransferase 2,2,2665660.0,1011340.0,1282090.0,991146.0,1262640.0,1516480.0,1081330.0,2836580.0,1451150.0,1828570.0,0.0,1129030.0,0.0,671184.0,1495940.0
1055,GGA2_MOUSE,Q6P5E6,Q6P5E6;Q6P5E6-2,Gga2,ADP-ribosylation factor-binding protein GGA2,4,480798.0,1011230.0,1114090.0,993644.0,763226.0,607521.0,825087.0,659252.0,809967.0,468744.0,468267.0,1065760.0,496834.0,346352.0,410167.0
1056,RB3GP_MOUSE,Q80UJ7,Q80UJ7;A0A1D5RLG3,Rab3gap1,Rab3 GTPase-activating protein catalytic subunit,42,0.0,1010720.0,5332820.0,0.0,1516920.0,0.0,0.0,103440.0,143657.0,0.0,104374.0,0.0,370842.0,5060930.0,303750.0
1057,ACTA_MOUSE,P62737,P62737;P63268;P68033;P68134;A0A1D5RM20;A0A494B9T3;D3YZY0;D3Z2K3,Acta2,"Actin, aortic smooth muscle",10,1007240.0,1009930.0,8303430.0,211543.0,2307910.0,0.0,1419790.0,1055970.0,1786950.0,279672.0,1096020.0,634929.0,2460170.0,463115000.0,2038470.0
1058,DDX6_MOUSE,P54823,P54823,Ddx6,Probable ATP-dependent RNA helicase DDX6,18,0.0,1008300.0,3954150.0,0.0,1159190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2480420.0,93461.0
1059,CLMN-4_MOUSE;CLMN_MOUSE,Q8C5W0;Q8C5W0-4,Q8C5W0;Q8C5W0-2;Q8C5W0-3;Q8C5W0-4,Clmn,Calmin,33,0.0,1008140.0,440033.0,0.0,1640290.0,0.0,156187.0,375258.0,2368660.0,0.0,508448.0,172290.0,1641740.0,31371900.0,0.0
1060,STX7_MOUSE,O70439,O70439;Q8BH40,Stx7,Syntaxin-7,6,0.0,1008100.0,526929.0,0.0,1149670.0,0.0,0.0,0.0,90925.3,0.0,0.0,0.0,264433.0,3686950.0,0.0
1061,ABCE1_MOUSE,P61222,P61222,Abce1,ATP-binding cassette sub-family E member 1,20,0.0,1007600.0,6259120.0,0.0,1498530.0,0.0,0.0,0.0,264045.0,0.0,0.0,0.0,0.0,5939060.0,119550.0
1062,CAC1A_MOUSE,P97445,P97445;A0A571BET0;E9Q1R5,Cacna1a,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,58,78599.5,1007110.0,0.0,782251.0,1167850.0,735865.0,90425.2,238312.0,1251880.0,0.0,789091.0,0.0,566956.0,15915000.0,0.0
1063,SNX2_MOUSE,Q9CWK8,Q9CWK8;Q9WV80;Q6NZD2,Snx2,Sorting nexin-2,21,0.0,1006580.0,5768880.0,0.0,1864870.0,0.0,0.0,1463580.0,93006.5,0.0,0.0,0.0,272493.0,5203140.0,267194.0
1064,STRN_MOUSE,O55106,O55106;F8WH41,Strn,Striatin,25,0.0,1006080.0,2091340.0,0.0,1402750.0,0.0,0.0,0.0,928155.0,0.0,234457.0,0.0,823836.0,14482400.0,194224.0
1065,A2AWI7_MOUSE,A2AWI7,A2AWI7,Sh3glb2,"Isoform of Q8R3V5, Endophilin-B2",1,0.0,1003180.0,6028580.0,0.0,2119020.0,0.0,0.0,0.0,442207.0,0.0,0.0,0.0,0.0,8346140.0,750338.0
1066,TPPC9-2_MOUSE;TPPC9_MOUSE,Q3U0M1;Q3U0M1-2,Q3U0M1;Q3U0M1-2;Q3U0M1-3,Trappc9,Trafficking protein particle complex subunit 9,29,0.0,1001780.0,2431430.0,0.0,1433870.0,0.0,38808.7,175046.0,419691.0,0.0,219502.0,62653.8,784042.0,9848750.0,189868.0
1067,ERI3-2_MOUSE;ERI3_MOUSE,Q8C460;Q8C460-2,Q8C460;A0A0R4J1R9;Q8C460-2;Q8C460-3,Eri3,ERI1 exoribonuclease 3,5,0.0,1001120.0,1877650.0,0.0,681130.0,0.0,0.0,0.0,0.0,0.0,106234.0,0.0,302110.0,2484730.0,0.0
1068,NDUV1_MOUSE,Q91YT0,Q91YT0;A0A494BAS8;D3YUM1;D3YXX5;D3Z0K1;D3Z1U9,Ndufv1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",12,0.0,998844.0,785089.0,0.0,1100680.0,0.0,0.0,70308.0,122687.0,0.0,156621.0,0.0,358164.0,3463250.0,74620.7
1069,CBR4_MOUSE,Q91VT4,Q91VT4;D3Z6C4,Cbr4,Carbonyl reductase family member 4,8,0.0,996438.0,2795300.0,0.0,1898500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852073.0,5176370.0,999707.0
1070,CTL1-2_MOUSE;CTL1_MOUSE,Q6X893;Q6X893-2,Q6X893;A2AMH3;A2AMH4;A2AMH5;Q6X893-2,Slc44a1,Choline transporter-like protein 1,2,269422.0,993519.0,0.0,0.0,0.0,468159.0,615738.0,0.0,547761.0,342450.0,435820.0,668880.0,870735.0,693951.0,325554.0
1071,D3YZ62_MOUSE;D3Z4J3_MOUSE;F6TDE5_MOUSE;F6Z2S4_MOUSE,D3YZ62;D3Z4J3;F6TDE5;F6Z2S4,D3YZ62;D3Z4J3;F6TDE5;F6Z2S4,Myo5a,"Isoform of Q99104, Unconventional myosin-Va",1,136640.0,993075.0,520509.0,0.0,1142430.0,0.0,2159750.0,2915990.0,1106680.0,0.0,2972260.0,2111500.0,3859260.0,23578000.0,0.0
1072,SEH1-2_MOUSE;SEH1_MOUSE,Q8R2U0;Q8R2U0-2,Q8R2U0;Q8R2U0-2,Seh1l,Nucleoporin SEH1,12,0.0,992638.0,1349840.0,0.0,1249120.0,0.0,0.0,49364.4,163979.0,0.0,0.0,0.0,331936.0,4887350.0,106873.0
1073,G3UX26_MOUSE,G3UX26,G3UX26,Vdac2,"Isoform of Q60930, Outer mitochondrial membrane protein porin 2",1,0.0,992564.0,0.0,0.0,1287790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2925280.0,0.0
1074,AGRB3_MOUSE,Q80ZF8,Q80ZF8;Q68FL1,Adgrb3,Adhesion G protein-coupled receptor B3,25,0.0,991787.0,0.0,0.0,1302290.0,0.0,113965.0,334689.0,1216140.0,0.0,936070.0,108907.0,726352.0,17211700.0,0.0
1075,GNB5-2_MOUSE;GNB5_MOUSE,P62881;P62881-2,P62881;P62881-2,Gnb5,Guanine nucleotide-binding protein subunit beta-5,12,0.0,990851.0,4728990.0,0.0,1583280.0,0.0,0.0,191816.0,558056.0,0.0,219081.0,0.0,529991.0,12073300.0,274079.0
1076,SKP1_MOUSE,Q9WTX5,Q9WTX5,Skp1,S-phase kinase-associated protein 1,12,0.0,989234.0,4644870.0,0.0,1487260.0,0.0,0.0,151023.0,687618.0,0.0,123512.0,0.0,962244.0,11930900.0,681291.0
1077,DYST-6_MOUSE,Q91ZU6-6,Q91ZU6-6;S4R1P5,Dst,"Isoform of Q91ZU6, Isoform 6 of Dystonin",4,66846.3,987181.0,507003.0,0.0,1243360.0,0.0,90879.3,206516.0,1344920.0,0.0,405429.0,102653.0,862397.0,16698500.0,53511.0
1078,ARHG9-2_MOUSE;ARHG9-4_MOUSE;ARHG9_MOUSE,Q3UTH8;Q3UTH8-2;Q3UTH8-4,Q3UTH8;A0A0G2JE35;A0A0G2JEH1;A0A0G2JEU6;A0A0G2JFA1;B1AXI2;B1AXI4;B1AXI6;Q3UTH8-2;Q3UTH8-3;Q3UTH8-4;S4R1K5,Arhgef9,Rho guanine nucleotide exchange factor 9,14,0.0,986673.0,1621920.0,0.0,1665950.0,0.0,166093.0,215393.0,358694.0,0.0,321188.0,0.0,442764.0,5380850.0,160000.0
