,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,Peptides,Q331K_M1,Q331K_M2,WT_M3,WT_M4
120,P11031,P11031,TCP4_MOUSE,Sub1,Activated RNA polymerase II transcriptional coactivator p15,2,820554.0,859115.0,1108720.0,1070460.0
121,P11087;P11087-2,P11087;P11087-2,CO1A1-2_MOUSE;CO1A1_MOUSE,Col1a1,Collagen alpha-1(I) chain,3,430054.0,438306.0,369439.0,334739.0
122,P11499,P07901;P11499;E9Q3D6,HS90B_MOUSE,Hsp90ab1,Heat shock protein HSP 90-beta,9,339663.0,242147.0,119686.0,342742.0
123,P11798,P11798;F8WHB5;F8WIS9;P11798-2,KCC2A_MOUSE,Camk2a,Calcium/calmodulin-dependent protein kinase type II subunit alpha,22,9328740.0,8452650.0,2946160.0,4444470.0
124,P12382;Q9WUA3;Q9WUA3-2,P12382;Q9WUA3;Q8C605;Q9WUA3-2,PFKAL_MOUSE;PFKAP-2_MOUSE;PFKAP_MOUSE,Pfkl;Pfkp,"ATP-dependent 6-phosphofructokinase, liver type",1,58905.5,40541.2,0.0,0.0
125,P12672,P12672;A2AFX4;A2AFX6,RAPSN_MOUSE,Rapsn,43 kDa receptor-associated protein of the synapse,1,490986.0,551230.0,814824.0,510774.0
126,P12970,P12970;V9GX35,RL7A_MOUSE,Rpl7a,60S ribosomal protein L7a,1,147823.0,118898.0,104405.0,226478.0
127,P13541;P13542;Q5SX39;Q5SX40,G3UW82;P13541;P13542;Q5SX39;Q5SX40,MYH1_MOUSE;MYH3_MOUSE;MYH4_MOUSE;MYH8_MOUSE,Myh1;Myh3;Myh4;Myh8,Myosin-3,2,0.0,59426.3,0.0,0.0
128,P13595,P13595;A0A0A6YWU2;A0A0A6YY47;A0A0A6YY91;E9Q589;E9QB01;P13595-2;P13595-3;P13595-4,NCAM1_MOUSE,Ncam1,Neural cell adhesion molecule 1,24,1569300.0,2712750.0,263870.0,1344740.0
129,P14094,P14094,AT1B1_MOUSE,Atp1b1,Sodium/potassium-transporting ATPase subunit beta-1,3,258553.0,257482.0,178201.0,271891.0
130,P14115,P14115,RL27A_MOUSE,Rpl27a,60S ribosomal protein L27a,5,1553800.0,1450720.0,1149750.0,2356890.0
131,P14873,P14873,MAP1B_MOUSE,Map1b,Microtubule-associated protein 1B,32,1205630.0,1175600.0,460062.0,1198870.0
132,P15105,P15105,GLNA_MOUSE,Glul,Glutamine synthetase,2,101091.0,103845.0,46362.3,66127.6
133,P15532;Q01768,P15532;Q01768;E9PZF0;Q5NC80,NDKA_MOUSE;NDKB_MOUSE,Nme1;Nme2,Nucleoside diphosphate kinase A,1,0.0,0.0,35509.1,54284.4
134,P16330;P16330-2,P16330;P16330-2,CN37-2_MOUSE;CN37_MOUSE,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",21,1735570.0,1179850.0,1121800.0,776441.0
135,P16332,P16332,MUTA_MOUSE,Mmut,"Methylmalonyl-CoA mutase, mitochondrial",2,230113.0,173858.0,166823.0,198684.0
136,P16381;Q62167,P16381;Q61496;Q62095;Q62167;Q3V086,DDX3L_MOUSE;DDX3X_MOUSE,D1Pas1;Ddx3x,Putative ATP-dependent RNA helicase Pl10,4,595762.0,505562.0,370969.0,542179.0
137,P16388;P16390;P63141,P16388;P16390;P63141,KCNA1_MOUSE;KCNA2_MOUSE;KCNA3_MOUSE,Kcna1;Kcna2;Kcna3,Potassium voltage-gated channel subfamily A member 1,1,138389.0,107991.0,0.0,90120.7
138,P16546,P16546;A3KGU5;A3KGU7;A3KGU9;E9Q447;P16546-2,SPTN1_MOUSE,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",16,1150310.0,2275150.0,1300240.0,1007640.0
139,P16858,A0A1D5RLD8;P16858;S4R1W1;V9GX06;A0A0A0MQF6,G3P_MOUSE,Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,11,1745920.0,2805140.0,1533820.0,1446180.0
140,P17156,P16627;P17156;P17879;Q61696,HSP72_MOUSE,Hspa2,Heat shock-related 70 kDa protein 2,2,138848.0,143497.0,91919.7,141181.0
141,P17182,P17182;Q6PHC1,ENOA_MOUSE,Eno1,Alpha-enolase,3,74367.4,49909.3,46430.5,99241.4
142,P17225;Q8BHD7;Q8BHD7-2,P17225;Q8BHD7;E9QMW9;F7C521;F7DCW4;G3UXA6;G8JL74;Q8BGJ5;Q8BHD7-2;Q8CB58;Q922I7,PTBP1_MOUSE;PTBP3-2_MOUSE;PTBP3_MOUSE,Ptbp1;Ptbp3,Polypyrimidine tract-binding protein 1,1,273460.0,207618.0,0.0,239824.0
143,P17427,P17427,AP2A2_MOUSE,Ap2a2,AP-2 complex subunit alpha-2,2,66718.2,85281.9,0.0,66659.2
144,P17751,P17751;H7BXC3,TPIS_MOUSE,Tpi1,Triosephosphate isomerase,6,93770.6,169590.0,82764.2,129012.0
145,P17809,P17809,GTR1_MOUSE,Slc2a1,"Solute carrier family 2, facilitated glucose transporter member 1",2,213633.0,124936.0,54151.1,58540.7
146,P17879;Q61696,P17879;Q61696,HS71A_MOUSE;HS71B_MOUSE,Hspa1a;Hspa1b,Heat shock 70 kDa protein 1B,2,103787.0,65911.3,45111.9,111892.0
147,P17897,P17897,LYZ1_MOUSE,Lyz1,Lysozyme C-1,1,93332.6,210451.0,114540.0,134667.0
148,P18760,P18760;P45591;A0A494B9A7;F8WGL3,COF1_MOUSE,Cfl1,Cofilin-1,6,857272.0,679145.0,632224.0,322167.0
149,P18872;P18872-2,B2RSH2;P08752;P18872;Q9DC51;A0A0A6YWA9;D3Z2M7;P18872-2,GNAO-2_MOUSE;GNAO_MOUSE,Gnao1,Guanine nucleotide-binding protein G(o) subunit alpha,11,1855060.0,1964970.0,969538.0,897044.0
150,P19246,P19246,NFH_MOUSE,Nefh,Neurofilament heavy polypeptide,9,292221.0,437518.0,86734.1,111181.0
151,P19253,P19253;A0A1B0GQW6;A0A1B0GS68;A0A1B0GSF0;A0A1B0GSQ6;A0A1B0GTA1,RL13A_MOUSE,Rpl13a,60S ribosomal protein L13a,1,29056.1,59202.2,80361.4,104885.0
152,P20029,P20029,BIP_MOUSE,Hspa5,Endoplasmic reticulum chaperone BiP,3,236528.0,339194.0,143204.0,208269.0
153,P20152,P20152;A0A0A6YWC8;A2AKJ2,VIME_MOUSE,Vim,Vimentin,1,579980.0,520493.0,662147.0,567565.0
154,P20357,P20357;A0A668KLC6;G3UZK9,MTAP2_MOUSE,Map2,Microtubule-associated protein 2,67,2463000.0,3834040.0,870504.0,2555430.0
155,P21107;P21107-2,D3Z2H9;P21107;P58771;P58774;A0A0R4J1P2;A2AIM4;A2AIM5;B7ZNL3;D3Z6I8;E9Q448;E9Q450;E9Q452;E9Q453;E9Q454;E9Q455;E9Q456;E9Q5J9;E9Q7Q3;F8WID5;G5E8R0;G5E8R1;G5E8R2;P21107-2;P58771-2;P58774-2;Q8BP43;Q8BSH3;S4R2U0,TPM3-2_MOUSE;TPM3_MOUSE,Tpm3,Tropomyosin alpha-3 chain,2,190173.0,231198.0,173193.0,247118.0
156,P21278,P21278,GNA11_MOUSE,Gna11,Guanine nucleotide-binding protein subunit alpha-11,2,772790.0,780087.0,407136.0,376969.0
157,P24270,P24270,CATA_MOUSE,Cat,Catalase,2,134390.0,93691.4,87203.6,169938.0
158,P24788;P24788-2,P24788;A2A9P6;P24788-2,CD11B-2_MOUSE;CD11B_MOUSE,Cdk11b,Cyclin-dependent kinase 11B,1,321147.0,0.0,0.0,0.0
159,P26231,P26231;A0A494BAD0,CTNA1_MOUSE,Ctnna1,Catenin alpha-1,1,273984.0,197269.0,239610.0,287633.0
160,P26369,P26369;Q3KQM4;Q80XR5,U2AF2_MOUSE,U2af2,Splicing factor U2AF 65 kDa subunit,7,332379.0,410795.0,273853.0,512512.0
161,P27048;P63163,P27048;P63163,RSMB_MOUSE;RSMN_MOUSE,Snrpb;Snrpn,Small nuclear ribonucleoprotein-associated protein B,2,148520.0,155650.0,0.0,211595.0
162,P27546-4,P27546;A0A0G2JDN7;A0A0G2JDU1;A0A0G2JDY5;A0A0G2JE57;A0A0G2JFK3;A0A0G2JFT4;A0A0G2JG35;A0A140T8T5;E9PZ43;P27546-2;P27546-3;P27546-4,MAP4-4_MOUSE,Map4,"Isoform of P27546, Isoform 4 of Microtubule-associated protein 4",7,417466.0,460832.0,206475.0,246024.0
163,P27612,P27612,PLAP_MOUSE,Plaa,Phospholipase A-2-activating protein,1,82103.8,112534.0,0.0,84631.3
164,P27782;P27782-2,P27782;D3Z654;P27782-2;Q8BGZ9;Q8C402,LEF1-2_MOUSE;LEF1_MOUSE,Lef1,Lymphoid enhancer-binding factor 1,1,0.0,894199.0,0.0,1535600.0
165,P28652,P28652;Q5SVI0;Q5SVI1;Q5SVI2;Q5SVI3;Q5SVI9;Q5SVJ0;Q5SVJ1;Q68EG2,KCC2B_MOUSE,Camk2b,Calcium/calmodulin-dependent protein kinase type II subunit beta,16,1280920.0,1382650.0,434084.0,693857.0
166,P28659;P28659-2;P28659-3;P28659-4,P28659;A0A0R4J0T5;P28659-2;P28659-3;P28659-4,CELF1-2_MOUSE;CELF1-3_MOUSE;CELF1-4_MOUSE;CELF1_MOUSE,Celf1,CUGBP Elav-like family member 1,4,1321090.0,1067700.0,122976.0,1138390.0
167,P28661;P28661-2;P28661-3;P28661-4;P28661-5,P28661;A0A5F8MP96;P28661-2;P28661-3;P28661-4;P28661-5;Q5ND09;Q5ND13,SEPT4-2_MOUSE;SEPT4-3_MOUSE;SEPT4-4_MOUSE;SEPT4-5_MOUSE;SEPT4_MOUSE,Septin4,Septin-4,1,273551.0,0.0,0.0,0.0
168,P28665,A0A0N4SVU1;P28665;P28666,MUG1_MOUSE,Mug1,Murinoglobulin-1,5,208733.0,187092.0,199718.0,192388.0
169,P28740;P28740-1;P28740-2,P28740;E0CZ72;F8VQ42;P28740-1;P28740-2,KIF2A-1_MOUSE;KIF2A-2_MOUSE;KIF2A_MOUSE,Kif2a,Kinesin-like protein KIF2A,4,136439.0,168414.0,0.0,139807.0
170,P29387;P62874;P62880;Q61011,P29387;P62874;P62880;Q61011;D3YZX3;D3Z1M1;D3Z1T4;E9QKR0;H3BKR2;H3BLF7,GBB1_MOUSE;GBB2_MOUSE;GBB3_MOUSE;GBB4_MOUSE,Gnb1;Gnb2;Gnb3;Gnb4,Guanine nucleotide-binding protein subunit beta-4,1,138869.0,151266.0,102018.0,132824.0
171,P31650,P31650,S6A11_MOUSE,Slc6a11,Sodium- and chloride-dependent GABA transporter 3,2,256185.0,168167.0,122577.0,65307.9
172,P35279;P35279-2;P61294;Q8BHD0,P35279;P61294;Q8BHD0;A0A1L1SRS6;D3YV69;P35279-2,RAB6A-2_MOUSE;RAB6A_MOUSE;RAB6B_MOUSE;RB39A_MOUSE,Rab39a;Rab6a;Rab6b,Ras-related protein Rab-6A,1,0.0,1209650.0,0.0,1283100.0
173,P35486,P35486,ODPA_MOUSE,Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",3,165694.0,249766.0,267797.0,275313.0
174,P35492,P35492,HUTH_MOUSE,Hal,Histidine ammonia-lyase,3,81835.7,85041.7,63266.2,195410.0
175,P35700,P35700;B1AXW4;B1AXW5;B1AXW6,PRDX1_MOUSE,Prdx1,Peroxiredoxin-1,5,534055.0,516885.0,394235.0,613011.0
176,P35980,P35980;A0A1B0GQU8;A0A1B0GRZ3;A0A1B0GS28;A0A1B0GSA8;A0A1B0GSF7,RL18_MOUSE,Rpl18,60S ribosomal protein L18,1,93713.0,108820.0,69291.6,368820.0
177,P38647,P38647,GRP75_MOUSE,Hspa9,"Stress-70 protein, mitochondrial",19,614944.0,696958.0,708166.0,530746.0
178,P39053;P39053-3;P39053-4;P39053-5;P39053-6,P39053;P39054;Q8BZ98;A0A0J9YUE9;A0A0J9YUN4;D6RH60;E9QLL2;F8WIV5;G3UY64;G3X9G4;P39053-3;P39053-4;P39053-5;P39053-6;P39054-2;Q3T9X3;Q3TCR7;Q8BZ98-2,DYN1-3_MOUSE;DYN1-4_MOUSE;DYN1-5_MOUSE;DYN1-6_MOUSE;DYN1_MOUSE,Dnm1,Dynamin-1,8,259972.0,406102.0,147717.0,289126.0
179,P40142,P40142;A0A286YE28,TKT_MOUSE,Tkt,Transketolase,1,0.0,20771.1,0.0,0.0
180,P42669,P42669,PURA_MOUSE,Pura,Transcriptional activator protein Pur-alpha,5,803074.0,556884.0,406751.0,343999.0
181,P42932,P42932;H3BJB6;H3BL49,TCPQ_MOUSE,Cct8,T-complex protein 1 subunit theta,21,1470160.0,2572200.0,193475.0,1729850.0
182,P43006;P43006-2,P43006;P43006-2,EAA2-2_MOUSE;EAA2_MOUSE,Slc1a2,Excitatory amino acid transporter 2,14,2783920.0,1716100.0,1203130.0,722450.0
183,P43274,P43274,H14_MOUSE,H1-4,Histone H1.4,2,252573.0,360475.0,248365.0,525565.0
184,P43432,P43432,IL12B_MOUSE,Il12b,Interleukin-12 subunit beta,1,110661.0,74578.5,130730.0,50014.6
185,P46096,P46096,SYT1_MOUSE,Syt1,Synaptotagmin-1,5,106967.0,121154.0,0.0,222524.0
186,P46460,P46460,NSF_MOUSE,Nsf,Vesicle-fusing ATPase,29,858190.0,770339.0,527093.0,447773.0
187,P46660,P46660,AINX_MOUSE,Ina,Alpha-internexin,20,852914.0,707373.0,374115.0,273268.0
188,P47757;P47757-2;P47757-4,P47757;A0A0A0MQI9;A2AMW0;F6YHZ8;F7CAZ6;P47757-2;P47757-4,CAPZB-2_MOUSE;CAPZB-4_MOUSE;CAPZB_MOUSE,Capzb,F-actin-capping protein subunit beta,1,59350.0,62348.2,0.0,0.0
189,P47857;P47857-2;P47857-3,P12382;P47857;Q9WUA3;P47857-2;P47857-3;Q8C605;Q9WUA3-2,PFKAM-2_MOUSE;PFKAM-3_MOUSE;PFKAM_MOUSE,Pfkm,"ATP-dependent 6-phosphofructokinase, muscle type",7,332141.0,268758.0,151940.0,166699.0
190,P47911,P47911,RL6_MOUSE,Rpl6,60S ribosomal protein L6,3,381057.0,377544.0,363752.0,597123.0
191,P47963,P47963,RL13_MOUSE,Rpl13,60S ribosomal protein L13,3,106711.0,83131.3,63448.4,85426.3
192,P48962,P48962;P51881;Q3V132,ADT1_MOUSE,Slc25a4,ADP/ATP translocase 1,16,8379390.0,5209850.0,5413090.0,4262990.0
193,P49312,P49312;V9GXF8;P49312-2;Q5EBP8,ROA1_MOUSE,Hnrnpa1,Heterogeneous nuclear ribonucleoprotein A1,17,5691030.0,5892600.0,634456.0,6445950.0
194,P50516,P50516;D3YWH3;D3YZ23;D3Z1B9;P50516-2,VATA_MOUSE,Atp6v1a,V-type proton ATPase catalytic subunit A,7,140894.0,203391.0,28413.0,109373.0
195,P51141,P51141,DVL1_MOUSE,Dvl1,Segment polarity protein dishevelled homolog DVL-1,2,77294.2,72935.9,0.0,0.0
196,P51881,P51881,ADT2_MOUSE,Slc25a5,ADP/ATP translocase 2,7,1680330.0,959319.0,1032920.0,685080.0
197,P52480-2,P52480;A0A1L1SQV8;A0A1L1SSN6;A0A1L1ST52;A0A1L1STV8;A0A1L1SU37;A0A1L1SUV0;P52480-2,KPYM-2_MOUSE,Pkm,"Isoform of P52480, Isoform M1 of Pyruvate kinase PKM",4,212680.0,325469.0,330855.0,379438.0
198,P53395,P53395,ODB2_MOUSE,Dbt,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",1,48680.6,73171.6,63188.0,0.0
199,P53994;P59279,P53994;P59279;Q3TEG7,RAB2A_MOUSE;RAB2B_MOUSE,Rab2a;Rab2b,Ras-related protein Rab-2A,1,108882.0,81713.3,86115.8,86449.7
200,P54227,P54227;D3Z1Z8;D3Z5N2,STMN1_MOUSE,Stmn1,Stathmin,1,56632.1,53510.5,0.0,79343.0
201,P55849;P55849-2,P55849;P55849-2;Q32ME9,DSC1-2_MOUSE;DSC1_MOUSE,Dsc1,Desmocollin-1,1,319077.0,312887.0,266910.0,458022.0
202,P56480,P56480,ATPB_MOUSE,Atp5f1b,"ATP synthase subunit beta, mitochondrial",6,145921.0,130585.0,146757.0,127375.0
203,P56564,O35544;P56564;A0A1W2P762;D3YY51,EAA1_MOUSE,Slc1a3,Excitatory amino acid transporter 1,4,360018.0,539041.0,455611.0,316079.0
204,P56959,P56959;G3UXT7;Q8CFQ9,FUS_MOUSE,Fus,RNA-binding protein FUS,6,1700800.0,1525540.0,397577.0,1744590.0
205,P57722;P57722-2,P57722;E9Q7D8;P57722-2,PCBP3-2_MOUSE;PCBP3_MOUSE,Pcbp3,Poly(rC)-binding protein 3,2,166784.0,131752.0,43272.9,140748.0
206,P57724,P57724;A0A087WP16;A0A087WPG7;A0A0R4J044;A0A1L1SQL8,PCBP4_MOUSE,Pcbp4,Poly(rC)-binding protein 4,1,66294.1,54718.2,0.0,79831.2
207,P57776;P57776-2;P57776-3,P57776;A0A0R4J1E2;A0A0R4J1L2;D3YY68;E9QN08;F6ZFU0;P57776-2;P57776-3;Q80T06;Q91VK2,EF1D-2_MOUSE;EF1D-3_MOUSE;EF1D_MOUSE,Eef1d,Elongation factor 1-delta,1,0.0,0.0,0.0,42653.0
208,P58252,P58252,EF2_MOUSE,Eef2,Elongation factor 2,3,144168.0,139299.0,126870.0,177850.0
209,P59108;Q0VE82;Q1RLL3;Q8BLR2;Q8BT60;Q8JZW4;Q9DC53;Q9Z140,P59108;Q0VE82;Q1RLL3;Q8BLR2;Q8BT60;Q8JZW4;Q9DC53;Q9Z140;A0A0R4J0J1;A0A0R4J1D0;Q3UYN2;Q9D6C8,CPNE2_MOUSE;CPNE3_MOUSE;CPNE4_MOUSE;CPNE5_MOUSE;CPNE6_MOUSE;CPNE7_MOUSE;CPNE8_MOUSE;CPNE9_MOUSE,Cpne2;Cpne3;Cpne4;Cpne5;Cpne6;Cpne7;Cpne8;Cpne9,Copine-2,1,0.0,80390.4,23188.7,71439.7
210,P59328;P59328-2;P59328-3,P59328;A0A0R4J1F8;A0A2K6EDP7;P59328-2;P59328-3,WDHD1-2_MOUSE;WDHD1-3_MOUSE;WDHD1_MOUSE,Wdhd1,WD repeat and HMG-box DNA-binding protein 1,1,114001.0,0.0,133915.0,0.0
211,P60202,P60202;P60202-2,MYPR_MOUSE,Plp1,Myelin proteolipid protein,4,1293610.0,1233000.0,996677.0,1412460.0
212,P60335,P60335,PCBP1_MOUSE,Pcbp1,Poly(rC)-binding protein 1,11,1644290.0,1570540.0,356886.0,1767610.0
213,P60469,P60469;A0A1B0GRM4;P60469-2,LIPA3_MOUSE,Ppfia3,Liprin-alpha-3,4,110319.0,171817.0,0.0,0.0
214,P60710;P63260,P60710;P63260;E9Q5F4;E9Q606;G3UYG0;G3UZ07,ACTB_MOUSE;ACTG_MOUSE,Actb;Actg1,"Actin, cytoplasmic 1",16,3364040.0,2369580.0,1587340.0,1762440.0
215,P60761,P60761,NEUG_MOUSE,Nrgn,Neurogranin,1,524437.0,674388.0,394389.0,323872.0
216,P60764;P63001;Q05144,P60764;P63001;Q05144;A0A2R8VHH0;A2AC13;Q3TLP8,RAC1_MOUSE;RAC2_MOUSE;RAC3_MOUSE,Rac1;Rac2;Rac3,Ras-related C3 botulinum toxin substrate 3,1,0.0,58736.0,0.0,66495.3
217,P60879;P60879-2,P60879;P60879-2,SNP25-2_MOUSE;SNP25_MOUSE,Snap25,Synaptosomal-associated protein 25,2,113972.0,169786.0,0.0,89451.2
218,P61205;P84078,P61205;P84078;Q8BSL7,ARF1_MOUSE;ARF3_MOUSE,Arf1;Arf3,ADP-ribosylation factor 3,3,168996.0,152828.0,138613.0,102657.0
219,P61226;Q80ZJ1;Q80ZJ1-2;Q8BU31,P61226;Q80ZJ1;Q8BU31;Q80ZJ1-2,RAP2A-2_MOUSE;RAP2A_MOUSE;RAP2B_MOUSE;RAP2C_MOUSE,Rap2a;Rap2b;Rap2c,Ras-related protein Rap-2b,1,268606.0,204819.0,190859.0,110097.0
220,P61255,P61255;B1ARA3;B1ARA5,RL26_MOUSE,Rpl26,60S ribosomal protein L26,3,221713.0,141213.0,173611.0,230913.0
221,P61264,P61264;A0A0U1RNT8,STX1B_MOUSE,Stx1b,Syntaxin-1B,2,77053.9,110909.0,0.0,90363.9
222,P61922,P61922;F7C9G3;P61922-2,GABT_MOUSE,Abat,"4-aminobutyrate aminotransferase, mitochondrial",2,111212.0,111145.0,65959.9,42716.6
223,P61979-3,P61979;A0A286YDM3;B2M1R6;H3BK96;H3BKD0;H3BKI8;H3BLL4;P61979-2;P61979-3,HNRPK-3_MOUSE,Hnrnpk,"Isoform of P61979, Isoform 3 of Heterogeneous nuclear ribonucleoprotein K",21,11080200.0,13130900.0,1521770.0,12091800.0
224,P62141,P62141,PP1B_MOUSE,Ppp1cb,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,2,0.0,118873.0,0.0,44586.2
225,P62242,P62242,RS8_MOUSE,Rps8,40S ribosomal protein S8,8,636744.0,534544.0,554935.0,1064890.0
226,P62245,P62245;D3YVB4;D3Z712;F8WJ41,RS15A_MOUSE,Rps15a,40S ribosomal protein S15a,1,159577.0,80511.2,0.0,0.0
227,P62254,P62254,UB2G1_MOUSE,Ube2g1,Ubiquitin-conjugating enzyme E2 G1,1,1167980.0,846872.0,1258040.0,1107830.0
228,P62267,P62267,RS23_MOUSE,Rps23,40S ribosomal protein S23,5,750020.0,504621.0,781394.0,964328.0
229,P62281,P62281;A0A1B0GRR3,RS11_MOUSE,Rps11,40S ribosomal protein S11,3,271328.0,157160.0,220099.0,262297.0
230,P62317,P62317,SMD2_MOUSE,Snrpd2,Small nuclear ribonucleoprotein Sm D2,2,521531.0,459625.0,0.0,493069.0
231,P62320,P62320,SMD3_MOUSE,Snrpd3,Small nuclear ribonucleoprotein Sm D3,2,288854.0,259247.0,0.0,354216.0
232,P62484;Q8CBW3;Q8CBW3-2;Q8CBW3-3;Q8CBW3-4;Q8CBW3-5,P62484;Q8CBW3;A0A087WNT3;A0A087WNU9;A0A087WP64;A0A087WPE6;A0A087WPP8;A0A087WRS3;B7ZCU0;B7ZCU2;B7ZCU3;B7ZCU4;B7ZCU5;J3QNK8;Q6AXD2;Q6AXH6;Q8CBW3-2;Q8CBW3-3;Q8CBW3-4;Q8CBW3-5,ABI1-2_MOUSE;ABI1-3_MOUSE;ABI1-4_MOUSE;ABI1-5_MOUSE;ABI1_MOUSE;ABI2_MOUSE,Abi1;Abi2,Abl interactor 2,1,0.0,48970.1,0.0,0.0
233,P62751,P62751,RL23A_MOUSE,Rpl23a,60S ribosomal protein L23a,2,332691.0,444984.0,297263.0,482646.0
234,P62754,P62754,RS6_MOUSE,Rps6,40S ribosomal protein S6,7,2783320.0,2433430.0,2715940.0,3111880.0
235,P62761,P62761,VISL1_MOUSE,Vsnl1,Visinin-like protein 1,1,125257.0,94271.7,0.0,97916.1
236,P62806,P62806,H4_MOUSE,H4f16,Histone H4,3,3507790.0,2750230.0,3536730.0,3326260.0
237,P62812;Q8BHJ7,P62812;Q8BHJ7;A0A0U1RPE4,GBRA1_MOUSE;GBRA5_MOUSE,Gabra1;Gabra5,Gamma-aminobutyric acid receptor subunit alpha-1,1,120652.0,0.0,0.0,0.0
238,P62814,P62814;Q91YH6,VATB2_MOUSE,Atp6v1b2,"V-type proton ATPase subunit B, brain isoform",5,179998.0,270662.0,0.0,157653.0
239,P62823,P62823;A0A286YDR2;Q9CXS2,RAB3C_MOUSE,Rab3c,Ras-related protein Rab-3C,4,690927.0,445811.0,307016.0,432435.0
240,P62827,P62827;Q14AA6;Q61820,RAN_MOUSE,Ran,GTP-binding nuclear protein Ran,6,1102710.0,847174.0,1142580.0,786987.0
241,P62830,P62830,RL23_MOUSE,Rpl23,60S ribosomal protein L23,4,829458.0,742471.0,700887.0,623425.0
242,P62855,P62855,RS26_MOUSE,Rps26,40S ribosomal protein S26,1,792415.0,665257.0,631345.0,1014170.0
243,P62862,A0A494B9Z0;A0A494BBA8;P62862;Q642K5,RS30_MOUSE,Fau,"Isoform of P35545, 40S ribosomal protein S30",2,2048160.0,1580760.0,1738410.0,2206660.0
244,P62900,P62900;A0A0A6YX26;A0A0A6YXL3,RL31_MOUSE,Rpl31,60S ribosomal protein L31,3,289900.0,195793.0,332914.0,251210.0
245,P62908,P62908;A0A140LI77;D3YV43,RS3_MOUSE,Rps3,40S ribosomal protein S3,4,303980.0,202472.0,345424.0,244576.0
246,P62911,P62911,RL32_MOUSE,Rpl32,60S ribosomal protein L32,1,140117.0,132155.0,119500.0,92189.3
247,P62918,P62918,RL8_MOUSE,Rpl8,60S ribosomal protein L8,2,350126.0,318234.0,306513.0,553517.0
248,P62983,A0A0A6YW67;P0CG49;P0CG50;P62983;P62984;E9Q4P0;E9Q5F6;E9Q9J0;E9QNP0;Q5SX22,RS27A_MOUSE,Rps27a,Ubiquitin-40S ribosomal protein S27a,5,977675.0,1323450.0,722115.0,1180370.0
249,P62996,P62996;Q6PFR5;A0A0N4SVC2;E9QP00;F8WJG3,TRA2B_MOUSE,Tra2b,Transformer-2 protein homolog beta,1,317994.0,212417.0,0.0,588810.0
250,P63011,P63011;D3YZP5,RAB3A_MOUSE,Rab3a,Ras-related protein Rab-3A,8,1142620.0,776982.0,862271.0,763233.0
251,P63017,P63017;D3Z5E2;Q504P4,HSP7C_MOUSE,Hspa8,Heat shock cognate 71 kDa protein,35,5276220.0,5962810.0,3096580.0,5294710.0
252,P63038,P63038;P63038-2,CH60_MOUSE,Hspd1,"60 kDa heat shock protein, mitochondrial",6,237839.0,208260.0,206635.0,158666.0
253,P63040,P63040;P84086,CPLX1_MOUSE,Cplx1,Complexin-1,5,879479.0,1296550.0,185804.0,1068680.0
254,P63080,P63080;F6ZYH6;Q8C446,GBRB3_MOUSE,Gabrb3,Gamma-aminobutyric acid receptor subunit beta-3,1,915549.0,1080460.0,1050710.0,847538.0
255,P63101,P63101;A0A2I3BQ03;D3YXF4;D3YXN6,1433Z_MOUSE,Ywhaz,14-3-3 protein zeta/delta,5,346748.0,514364.0,205795.0,429816.0
256,P63158,P30681;P63158;A0A0J9YUZ4,HMGB1_MOUSE,Hmgb1,High mobility group protein B1,4,611939.0,449285.0,496002.0,653833.0
257,P63168,P63168;Q80ZS7,DYL1_MOUSE,Dynll1,"Dynein light chain 1, cytoplasmic",1,160369.0,283456.0,0.0,146669.0
258,P63318,P63318;Q2NKI4,KPCG_MOUSE,Prkcg,Protein kinase C gamma type,2,251557.0,250777.0,0.0,0.0
259,P63328;P63328-2,P48453;P48455;P63328;A0A2I3BPC5;E0CZ78;E9Q6P2;G3X8U7;P48453-2;P63328-2,PP2BA-2_MOUSE;PP2BA_MOUSE,Ppp3ca,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,7,289230.0,590585.0,132359.0,263942.0
260,P68134,P62737;P63268;P68033;P68134;A0A1D5RM20;A0A494B9T3;D3YZY0;D3Z2K3,ACTS_MOUSE,Acta1,"Actin, alpha skeletal muscle",3,239127.0,181348.0,83874.3,153526.0
261,P68254;P68254-2,P61982;P68254;P68510;Q9CQV8;A2A5N1;P68254-2;Q9CQV8-2,1433T-2_MOUSE;1433T_MOUSE,Ywhaq,14-3-3 protein theta,2,205999.0,190109.0,62100.3,174256.0
262,P68368,P05213;P68368;P68369;P68373;Q3UX10;A0A0A0MQA5,TBA4A_MOUSE,Tuba4a,Tubulin alpha-4A chain,25,10939600.0,7773100.0,8457350.0,6076720.0
263,P68369,P05214;P68369;P68373;Q9JJZ2,TBA1A_MOUSE,Tuba1a,Tubulin alpha-1A chain,7,13507600.0,10647200.0,11367100.0,8764690.0
